conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,global_rank,rating
arc,American Rivers Conference (ARC),2025-26,wbb,Buena Vista,"Krager,Bradi",0,G,22,27,27,152,296,37,101,104,83,424,18,54,49,866,75,129,204,57,0,56,0,0,0.51,0.37,0.8,15.7,7.56,1.81,2.0,0.67,2.074074074074074,9.889914523711736,69,93
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbb,Brevard,"Miller, Olivia",0,0,24,28,28,173,301,7,16,33,22,375,23,58,89,863,63,177,240,41,0,68,0,0,0.57,0.44,0.67,13.39,8.57,3.18,2.07,0.82,2.4285714285714284,9.836122163743688,70,92
mac,Middle Atlantic Conferences (MAC),2025-26,wbb,Arcadia,"Bell,Delaney",0,G,13,25,25,133,269,22,67,99,73,361,37,30,72,865,39,207,246,43,0,87,0,0,0.49,0.33,0.74,14.44,9.84,2.88,1.2,1.48,3.48,9.82990041225628,71,92
skyline_conference,Skyline Conference,2025-26,wbb,Sarah Lawrence,"Theriault,Sarah",0,G,5,26,25,170,337,9,40,105,80,429,4,49,81,779,80,114,194,68,0,93,3,0,0.5,0.23,0.76,16.5,7.46,3.12,1.88,0.15,3.576923076923077,9.825828522194806,72,92
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,wbb,Saint Mary's,"Olson,Ayla",0,F,21,27,23,147,279,13,42,148,113,420,12,59,59,767,98,115,213,68,0,73,2,0,0.53,0.31,0.76,15.56,7.89,2.19,2.19,0.44,2.7037037037037037,9.781995586115212,73,92
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,wbb,UW-Stevens Point,"Rice,Maija",0,G,12,26,26,166,370,18,69,120,101,451,3,44,67,741,69,125,194,67,0,91,0,0,0.45,0.26,0.84,17.35,7.46,2.58,1.69,0.12,3.5,9.758165729523652,74,92
njac,New Jersey Athletic Conference (NJAC),2025-26,wbb,Montclair State,"Craigwell,Alyssa",0,F,8,26,26,169,372,19,53,102,73,430,31,64,50,635,39,142,181,63,0,97,3,0,0.45,0.36,0.72,16.54,6.96,1.92,2.46,1.19,3.730769230769231,9.755705432662957,75,92
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wbb,Minnesota Morris,"Grove,Maddy",0,G,10,26,26,195,436,11,42,99,84,485,13,65,35,789,33,59,92,67,0,70,2,0,0.45,0.26,0.85,18.65,3.54,1.35,2.5,0.5,2.6923076923076925,9.696357102740608,76,92
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wbb,Crown,"Reimer,Brayli",0,G,0,20,19,127,345,16,66,118,71,341,1,45,78,622,12,121,133,56,0,87,1,0,0.37,0.24,0.6,17.05,6.65,3.9,2.25,0.05,4.35,9.69397281543761,77,92
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wbb,Manchester,"Rosenkrans,Abigail",0,G,32,23,23,133,288,27,58,74,56,349,10,58,73,692,25,132,157,57,1,67,3,0,0.46,0.47,0.76,15.17,6.83,3.17,2.52,0.43,2.9130434782608696,9.693024278992814,78,92
