season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Palladino, Sophia",Sophia,Palladino,,273,"Palladino, Sophia","PALLADINO, SOPHIA",Hartwick,Hart,1005-3057,122,52,15,0,15,0,.140,750,121,226,21,11,127,0,41,34,419,0,0,715,67,276,20,5,17,3,278.5,2,1.85,0.17,2.26,0.16,0.34,2.28,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Muglio, Mallory",Mallory,Muglio,,273,"Muglio, Mallory","MUGLIO, MALLORY",Hartwick,Hart,1005-3059,23,1,4,0,4,0,-.250,4,1,0,1,0,14,0,1,1,27,0,0,25,5,30,1,0,1,0,1.5,0,0.00,0.04,1.30,0.04,0.04,0.07,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Walker, Lucy",Lucy,Walker,,273,"Walker, Lucy","WALKER, LUCY",Hartwick,Hart,1005-3255,127,54,16,0,16,0,.253,727,124,308,14,4,88,0,5,3,41,0,0,17,4,31,72,12,58,14,356,3,2.43,0.11,0.24,0.57,0.04,2.80,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Cahan, Mackenzie",Mackenzie,Cahan,,273,"Cahan, Mackenzie","CAHAN, MACKENZIE",Hartwick,Hart,1005-3256,46,11,18,0,18,0,.020,102,29,31,5,2,32,0,14,16,130,0,0,22,2,77,6,1,6,0,48,2,0.67,0.11,1.67,0.13,0.30,1.04,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Dake, Malia",Malia,Dake,,273,"Dake, Malia","DAKE, MALIA",Hartwick,Hart,1005-3257,126,0,1,0,1,0,.077,26,3,5,64,4,311,0,51,38,488,0,0,760,74,381,0,0,0,0,56,1,0.04,0.51,3.02,0.00,0.40,0.44,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Garback, Samantha",Samantha,Garback,,273,"Garback, Samantha","GARBACK, SAMANTHA",Hartwick,Hart,1005-3416,95,38,8,0,8,0,.205,195,27,67,8,2,55,0,0,0,0,0,0,5,1,33,70,7,65,5,104.5,0,0.71,0.08,0.35,0.74,0.00,1.10,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Bobish, Adisyn",Adisyn,Bobish,,273,"Bobish, Adisyn","BOBISH, ADISYN",Hartwick,Hart,1005-3417,4,0,12,0,12,0,-.222,9,3,1,0,0,3,0,1,1,5,0,0,6,0,4,0,0,0,0,2,0,0.25,0.00,1.00,0.00,0.25,0.50,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Marcovecchio, Chloe",Chloe,Marcovecchio,,273,"Marcovecchio, Chloe","MARCOVECCHIO, CHLOE",Hartwick,Hart,1005-3414,1,0,5,0,5,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Juncaj, Briana",Briana,Juncaj,,273,"Juncaj, Briana","JUNCAJ, BRIANA",Hartwick,Hart,1005-3415,8,0,7,0,7,0,.111,9,1,2,0,1,1,0,0,0,0,0,0,1,0,3,2,1,2,0,3,0,0.25,0.00,0.38,0.25,0.00,0.38,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Keoviengsamay, Thylia",Thylia,Keoviengsamay,,273,"Keoviengsamay, Thylia","KEOVIENGSAMAY, THYLIA",Hartwick,Hart,1005-3418,42,2,17,0,17,0,.063,32,5,7,32,3,117,0,9,13,95,0,0,18,3,51,5,0,5,0,18.5,0,0.17,0.76,1.21,0.12,0.21,0.44,,,,,,
