season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Kenyon,Kenyon College,Robbie Lifson,,Fourth Year,12002,100000,ACTIVE,81.33,9.33,6,80.1049655706484,3,0,0,8.11221381665867,-10.6165503797037,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Denison,Denison University,Marcus Ying,,,12875,100000,ACTIVE,79.5,7.5,8,80.0864652047256,4,0,0,5.05735560384793,-11.478526233285,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,DePauw,DePauw University,Nolan Hall,,Fourth Year,13320,100000,ACTIVE,78.1,6.1,10,77.8111149853691,5,0,0,10.0576062566516,-11.0977626186496,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,DePauw,DePauw University,Nick Zanoni,,Fourth Year,16111,100000,ACTIVE,79.25,7.25,4,80.5121786189892,2,0,0,3.41681054542414,-12.0861145303891,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,John Carroll,John Carroll University,Andrew Schwartz,,,17284,100000,ACTIVE,78.5,6.5,6,79.5412212898444,3,0,0,6.84428976023319,-12.072134388403,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,DePauw,DePauw University,Eli Anderson,,,22326,100000,ACTIVE,81.89,9.89,9,81.8143226965831,4,0,0,4.76208031705074,-10.6899343298043,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Sean Bledsoe,,,22689,100000,ACTIVE,74.8,2.8,10,74.6952395018136,4,1,0,21.1525446438575,-10.6813824157784,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,John Carroll,John Carroll University,Paul Litrenta,,,24504,100000,ACTIVE,78.38,6.38,8,78.4751237796172,4,0,0,8.16504094899438,-11.4174767828189,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,John Carroll,John Carroll University,Robert Kimmel,,,24561,100000,ACTIVE,75.67,3.67,9,75.8286881840598,4,0,0,19.4585598688842,-9.91134335898753,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,DePauw,DePauw University,Max Brown,,Fourth Year,25091,100000,ACTIVE,75.91,3.91,11,74.9210389796398,5,1,0,20.8097270063679,-10.62986403934,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,John Carroll,John Carroll University,Cameron Bassel,,,25310,100000,ACTIVE,78.5,6.5,4,78.9765876571087,2,0,0,7.62783892417779,-11.9715823377931,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Kenyon,Kenyon College,Oliver McGovern,,Fourth Year,26840,100000,ACTIVE,77.27,5.27,11,75.4069511446044,4,0,0,17.8164738054347,-7.77103259041803,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Denison,Denison University,Benjamin Grelle,,Third Year,31180,100000,ACTIVE,78.78,6.78,9,77.6092549275876,5,0,0,9.68967344997474,-10.5566381241816,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Denison,Denison University,Tim Moriarty,,Third Year,31189,100000,ACTIVE,81.71,9.71,7,80.6954676268281,4,0,0,3.86038217746048,-10.5588217058361,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Denison,Denison University,Nicholas Viana,,Second Year,31190,100000,ACTIVE,76.5,4.5,4,75.9660373484463,2,0,0,16.0195000763682,-9.55245597995516,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Parker Bigornia,,Fourth Year,32552,100000,ACTIVE,86.8,14.8,5,86.7382556582867,3,0,0,0.960927704913771,-12.4118569634493,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Mirwais Arghandiwal,,,32553,100000,ACTIVE,89.33,17.33,3,90.4221069168471,2,0,0,0.48762560189801,-12.5789694052007,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Rafa Tanjung,,Third Year,32554,100000,ACTIVE,80.5,8.5,10,80.4041320636952,6,0,0,6.64709091543343,-12.9257504390964,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Tyler Snyder,,Third Year,32972,100000,ACTIVE,80.5,8.5,2,80.8804263123755,1,0,0,4.19211597986915,-13.9463297594808,Region V - (M) DIII,clippd_scoreboard
