conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,class_year,position,mp_total,pts_total,reb_total,ast_total,stl_total,blk_total,tov_total,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,D Hind,D,Hind,26,11.0,3.4,1.2,1.0,0.3,0.0,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,B Waters,B,Waters,18,9.1,3.4,0.4,0.4,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,Z Bruce,Z,Bruce,26,12.5,3.1,1.8,0.4,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,S Byrd,S,Byrd,17,13.7,3.1,2.8,0.9,0.4,0.1,1.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J McClure,J,McClure,17,8.4,2.8,0.9,0.2,0.3,0.0,0.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,T Walton,T,Walton,24,9.3,2.8,2.4,0.4,0.6,0.1,0.9,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,A McCormack,A,McCormack,21,8.7,2.4,1.5,0.7,0.5,0.0,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,J Becker,J,Becker,17,9.7,2.4,1.2,1.1,0.3,0.2,0.5,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,J Triplin,J,Triplin,18,4.6,2.4,0.7,0.2,0.4,0.0,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,E Johansson,E,Johansson,24,11.7,2.3,1.6,1.3,0.3,0.0,1.1,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,K Miller,K,Miller,27,9.0,2.3,1.4,0.4,0.1,0.1,0.4,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,K Alvarado,K,Alvarado,21,6.8,2.2,1.7,0.3,0.2,0.3,0.4,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,J Bauer,J,Bauer,25,9.5,2.2,2.4,0.4,0.2,0.2,0.6,,,,,,,,,,,,,,,,,,
