season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Mubarak,Hawa",Hawa,Mubarak,G,30065,"Mubarak,Hawa","MUBARAK,HAWA",VTSU Lyndon,NVU-L,804-1494,25,0,11,0,33,120,21,80,33,21,108,10,20,22,393,23,45,68,32,0,36,0,0,25,0.28,0.26,0.64,4.32,2.72,0.88,0.80,0.40,11
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Van Olst,Kerisa",Kerisa,Van Olst,G,30065,"Van Olst,Kerisa","VAN OLST,KERISA",VTSU Lyndon,NVU-L,804-1485,11,1,12,0,23,77,11,53,28,23,80,1,14,14,169,9,11,20,6,0,14,0,0,11,0.30,0.21,0.82,7.27,1.82,1.27,1.27,0.09,12
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Frydenlund,Kaitlyn",Kaitlyn,Frydenlund,F,30065,"Frydenlund,Kaitlyn","FRYDENLUND,KAITLYN",VTSU Lyndon,NVU-L,804-1502,16,0,14,0,16,50,2,12,2,1,35,1,4,6,145,19,27,46,12,0,9,0,0,16,0.32,0.17,0.50,2.19,2.88,0.38,0.25,0.06,14
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Clegg,Nei'Shae",Nei'Shae,Clegg,G,30065,"Clegg,Nei'Shae","CLEGG,NEI'SHAE",VTSU Lyndon,NVU-L,804-1496,26,25,15,0,56,158,8,52,68,35,155,0,40,20,664,92,66,158,59,0,56,1,0,26,0.35,0.15,0.51,5.96,6.08,0.77,1.54,0.00,15
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Walker,Haylee",Haylee,Walker,F,30065,"Walker,Haylee","WALKER,HAYLEE",VTSU Lyndon,NVU-L,804-1503,16,0,20,0,11,44,2,19,3,2,26,3,5,7,146,11,25,36,16,0,12,0,0,16,0.25,0.11,0.67,1.63,2.25,0.44,0.31,0.19,20
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Begay,Skylar",Skylar,Begay,F,30065,"Begay,Skylar","BEGAY,SKYLAR",VTSU Lyndon,NVU-L,804-1507,26,26,21,0,129,337,46,133,65,39,343,14,47,68,718,36,96,132,59,0,75,3,0,26,0.38,0.35,0.60,13.19,5.08,2.62,1.81,0.54,21
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Germany,Za'Khia",Za'Khia,Germany,F,30065,"Germany,Za'Khia","GERMANY,ZA'KHIA",VTSU Lyndon,NVU-L,804-1504,3,0,22,0,1,9,1,5,2,2,5,0,2,1,26,1,0,1,0,0,0,0,0,3,0.11,0.20,1.00,1.67,0.33,0.33,0.67,0.00,22
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Murphy,Chloe",Chloe,Murphy,F,30065,"Murphy,Chloe","MURPHY,CHLOE",VTSU Lyndon,NVU-L,804-1495,25,2,25,0,23,103,8,50,10,5,59,2,14,23,436,19,28,47,27,0,41,1,0,25,0.22,0.16,0.50,2.36,1.88,0.92,0.56,0.08,25
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Mack,Kiara",Kiara,Mack,F,30065,"Mack,Kiara","MACK,KIARA",VTSU Lyndon,NVU-L,804-1329,26,26,34,0,122,247,0,1,130,72,316,53,17,38,569,59,160,219,64,1,50,1,0,26,0.49,0.00,0.55,12.15,8.42,1.46,0.65,2.04,34
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,Taliyah Carter,Taliyah,Carter,*,30065,Taliyah Carter,"CARTER,TALIYAH",VTSU Lyndon,NVU-L,804-1501,7,3,4,0,12,40,4,16,14,10,38,0,14,28,119,2,13,15,9,0,20,0,0,7,0.30,0.25,0.71,5.43,2.14,4.00,2.00,0.00,4
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,Victoria Fitih,Victoria,Fitih,0,30065,Victoria Fitih,"FITIH,VICTORIA",VTSU Lyndon,NVU-L,804-1382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,Heather Kerr,Heather,Kerr,0,30065,Heather Kerr,"KERR,HEATHER",VTSU Lyndon,NVU-L,804-1505,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23
