conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Emily Ryan,0,*,0,24,9,36,92,9,29,20,14,95,3,12,34,455,7,25,32,34,0,27,0,0,0.39,0.31,0.70,3.96,1.33,1.42,0.50,0.13
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Brooke Braen,0,0,3,11,0,10,33,2,6,14,12,34,1,2,2,112,2,14,16,7,0,17,0,0,0.30,0.33,0.86,3.09,1.45,0.18,0.18,0.09
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Lauren Cho,0,0,5,18,0,19,44,0,5,21,14,52,2,10,17,203,8,14,22,11,0,17,0,0,0.43,0.00,0.67,2.89,1.22,0.94,0.56,0.11
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Defne Pekinbas,0,0,10,16,0,15,34,0,0,8,6,36,0,4,5,117,10,15,25,8,0,11,0,0,0.44,0.00,0.75,2.25,1.56,0.31,0.25,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Chelsea Ibenegbu,0,0,11,23,18,31,100,0,4,73,50,112,1,21,34,518,12,33,45,50,0,37,2,0,0.31,0.00,0.68,4.87,1.96,1.48,0.91,0.04
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Talia Thompson,0,0,12,22,9,25,45,0,0,19,11,61,8,17,19,462,31,49,80,29,0,16,0,0,0.56,0.00,0.58,2.77,3.64,0.86,0.77,0.36
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Kate Olenik,0,*,13,22,21,128,283,30,96,69,51,337,11,27,41,692,25,88,113,31,0,31,1,0,0.45,0.31,0.74,15.32,5.14,1.86,1.23,0.50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Lili Nagy,0,0,15,13,0,6,20,1,8,6,3,16,0,4,10,99,6,12,18,5,0,7,0,0,0.30,0.13,0.50,1.23,1.38,0.77,0.31,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Amelia Hanscom,0,*,17,24,23,79,164,0,8,70,56,214,7,21,47,601,31,120,151,39,0,52,0,0,0.48,0.00,0.80,8.92,6.29,1.96,0.88,0.29
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Ava Bryan,0,0,18,10,0,11,24,5,12,2,1,28,2,3,2,60,2,9,11,4,0,7,0,0,0.46,0.42,0.50,2.80,1.10,0.20,0.30,0.20
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Lydia Mordarski,0,*,21,24,24,70,198,35,96,70,49,224,3,17,34,650,38,67,105,49,0,31,0,0,0.35,0.36,0.70,9.33,4.38,1.42,0.71,0.13
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Shea Donnelly,0,0,23,19,0,21,66,12,41,2,1,55,2,18,3,222,13,31,44,22,0,20,0,0,0.32,0.29,0.50,2.89,2.32,0.16,0.95,0.11
